%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
98.0, -63.31650624983013, -52.27258168067783, 54.2098498577252, 29.126340854912996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227402765632E9, 0.0, 2023-06-28 12:25:40.276
98.0, 20.11318196170032, 45.245309663936496, 232.43104234617203, 152.78987278975546, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227402765632E9, 0.0, 2023-06-28 12:25:40.276
0.0, -133.751912065316, -189.68585580261424, 7.7079338086768985, -43.50999608449638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227402973688E9, 0.0, 2023-06-28 12:25:40.297
1.0, -141.28033067611977, -197.1469562142156, -152.04563269857317, -160.80073849484324, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403107004E9, 0.0, 2023-06-28 12:25:40.310
1.0, -256.12143861548975, -304.00337774818763, -189.47455145511776, -183.35981502756476, 0.0, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403107004E9, 0.0, 2023-06-28 12:25:40.310
2.0, -185.6579835503362, -226.0900419712998, -12.969973046332598, -53.03552127163857, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403275917E9, 0.0, 2023-06-28 12:25:40.327
2.0, -127.84661003528163, -172.1419851104729, -73.67228922713548, -92.99635229818523, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403275917E9, 0.0, 2023-06-28 12:25:40.327
3.0, -241.30769489100203, -305.55543622979894, -232.75267374236137, -218.585932710208, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403281724E9, 0.0, 2023-06-28 12:25:40.328
3.0, -210.3413232578896, -248.1741512096487, -61.60363207012415, -97.05788365006447, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403281724E9, 0.0, 2023-06-28 12:25:40.328
4.0, -101.7682876442559, -147.10335490712896, -5.5761908339336514, -48.42048472631723, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922740340511E9, 0.0, 2023-06-28 12:25:40.340
4.0, -197.0011001159437, -243.4693570653908, -209.31472072005272, -196.96183116640896, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922740340511E9, 0.0, 2023-06-28 12:25:40.340
5.0, -222.57827591290697, -283.65084218932316, -127.66522488743067, -143.78793359640986, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403563912E9, 0.0, 2023-06-28 12:25:40.356
5.0, -141.25041147647426, -181.5440935990773, 10.591396674513817, -37.9450249504298, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403563912E9, 0.0, 2023-06-28 12:25:40.356
6.0, -140.8278027814813, -202.5174525505863, -150.83764501288533, -154.10257767420262, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403570642E9, 0.0, 2023-06-28 12:25:40.357
6.0, -256.6861635087989, -313.9814308299683, -191.86060762684792, -188.92104626167566, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403570642E9, 0.0, 2023-06-28 12:25:40.357
7.0, -200.18001507828012, -227.1259942590259, -18.755598277784884, -59.382131496444345, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403704813E9, 0.0, 2023-06-28 12:25:40.370
7.0, -118.87832994153723, -167.8784991609864, -72.65129653923213, -101.9758520917967, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403704813E9, 0.0, 2023-06-28 12:25:40.370
8.0, -216.11572878947482, -288.6473485301249, -229.79067297745496, -215.78100774344057, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403862271E9, 0.0, 2023-06-28 12:25:40.386
8.0, -198.52697929786518, -251.52136166999117, -58.540654006414115, -86.81055777147412, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403862271E9, 0.0, 2023-06-28 12:25:40.386
9.0, -116.25292017264292, -166.20302398083732, -6.930034617893398, -47.728603234514594, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403869839E9, 0.0, 2023-06-28 12:25:40.386
9.0, -200.12391657894477, -257.2957672015764, -218.3278796132654, -207.82624053768814, -0.03200000151991844, 0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227403869839E9, 0.0, 2023-06-28 12:25:40.386
10.0, -260.97208885801956, -287.4094416447915, -136.6185453813523, -145.65040377434343, -0.03200000151991844, 0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404008741E9, 0.0, 2023-06-28 12:25:40.400
10.0, -157.75085008097813, -179.00470152916387, 10.09025008045137, -37.78794915229082, -0.03200000151991844, 0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404008741E9, 0.0, 2023-06-28 12:25:40.400
11.0, -124.19646767852828, -197.3339512120001, -152.09799129795283, -151.60806440375745, -0.03200000151991844, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404162176E9, 0.0, 2023-06-28 12:25:40.416
11.0, -234.9461250663735, -306.8045628149994, -190.10285464767367, -187.0922351833433, -0.03200000151991844, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404162176E9, 0.0, 2023-06-28 12:25:40.416
12.0, -177.02255455264822, -230.89581341436133, -10.292204678058624, -51.45728349033743, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404169345E9, 0.0, 2023-06-28 12:25:40.416
12.0, -120.84551731823012, -178.38761803647503, -75.22434770874679, -98.66978053096682, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404169345E9, 0.0, 2023-06-28 12:25:40.416
13.0, -232.48901079548523, -292.4620464849286, -228.45552869327366, -212.2131431857124, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404305396E9, 0.0, 2023-06-28 12:25:40.430
13.0, -230.23011122224852, -263.71717542549595, -65.23133502714336, -86.34307027701288, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404305396E9, 0.0, 2023-06-28 12:25:40.430
14.0, -101.53267394704744, -158.13979967636988, -9.26747209019959, -46.872166144661605, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404462516E9, 0.0, 2023-06-28 12:25:40.446
14.0, -195.47148103406653, -232.74332399247214, -210.96775650046766, -201.60304701142013, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404462516E9, 0.0, 2023-06-28 12:25:40.446
15.0, -249.09042669879273, -290.3078641104512, -133.11051922291517, -138.55955345835537, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404469688E9, 0.0, 2023-06-28 12:25:40.446
15.0, -137.21879932424054, -192.46834136964753, 8.740146196447313, -37.85526735149324, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404469688E9, 0.0, 2023-06-28 12:25:40.446
16.0, -140.54357038484886, -208.80048447614536, -156.8177450420335, -158.4072025232017, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404605293E9, 0.0, 2023-06-28 12:25:40.460
16.0, -239.11611351696774, -294.7583450577222, -184.7211386114359, -185.5289570018649, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404605293E9, 0.0, 2023-06-28 12:25:40.460
17.0, -195.39668303495273, -229.47465143119916, -10.961646770127118, -48.061454330570996, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404762278E9, 0.0, 2023-06-28 12:25:40.476
17.0, -117.61424375651404, -167.9458173601888, -71.86591754853725, -102.0469101909548, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404762278E9, 0.0, 2023-06-28 12:25:40.476
18.0, -228.161946546752, -283.3366905930452, -222.0266406694427, -211.397844995372, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404770277E9, 0.0, 2023-06-28 12:25:40.477
18.0, -220.13238134188578, -264.50255441619083, -65.6988225216046, -90.08671013265848, -0.01600000075995922, 0.0, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879227404770277E9, 0.0, 2023-06-28 12:25:40.477
